1, 1, -1, 3, 1, -1, 3, 31, 4, -58, 6, -20, 91, -16, -27, 13, -1, -10, -34, -1, -11, 1, 28, 6, 11, 9, -7, -6, -10, -30, -32, 42, -24, 24, -30, -31, 4, -12, -13, 20, -1, 4, -3, 18, 21, 13, 26, 25, 20, -2, -8, 2, 14, -8, 0, 5, 13, -20, -16, 8, -10, -11, -8, -8, -7, -11, 3, -7, 7, 26, -4, -29, -16, 3, 32, -2, -17, -7, 3, -1, -2, -7, -7, -3, 5, -11, 12, 4, 14, -12, -2, -28, 104, -83, -10, 23, 14, 
-2, -2, 2, 0, -2, 1, 13, 24, -50, -19, 21, 55, -1, -35, -2, 3, -3, -4, 2, 2, -16, -16, 0, 9, -2, 8, 22, -12, 8, -6, -12, 13, 18, 7, -18, -17, 18, 34, 2, -6, 14, 27, 26, 21, 11, 15, 15, 26, 22, 5, -25, 4, 19, -4, -10, -6, -20, -14, -5, -20, -9, -15, -32, -29, -9, 10, 14, 0, -17, -9, 1, 6, 10, -6, -17, -17, 2, 13, 11, -5, -11, 4, -1, 3, -11, 21, -7, -23, 9, 42, -9, -48, 51, 30, -73, 22, 19, 
1, 0, 0, -2, 2, -3, 24, 19, -78, 52, 30, -27, -45, -8, -6, -1, 9, 6, 13, -4, -3, 9, 3, 0, -3, 2, 15, -16, -6, -5, 8, 21, 13, 5, 20, 12, 7, 1, 15, 14, 15, 5, 3, 2, 3, 3, 3, 0, 8, 35, 19, -6, -37, -19, -28, -35, -24, -18, -22, -7, 4, -11, 11, 10, -7, -16, -19, 0, -7, 9, -12, -4, -9, -7, 2, 14, 4, -4, -1, -4, 9, 3, 7, -7, 16, -3, -13, 8, -20, 7, 8, -9, -32, 30, -50, 6, 24, 
-2, 3, -3, 1, -1, 0, 41, -34, -27, 43, -47, -35, 52, -42, -12, -5, -11, 4, 5, -10, -7, -16, -23, -32, -30, -40, -7, 24, -1, 7, 15, 0, 1, 6, 14, 16, 13, -4, 6, 7, -3, -1, 0, -1, 0, -3, -2, 0, -2, 7, 24, -2, -12, -25, -8, -3, -17, -1, 30, 19, 28, 38, 28, 27, 9, 0, -10, -23, -23, -16, 2, -9, 3, 15, 5, -13, -15, 1, -10, 5, 7, -2, 6, 8, -4, -5, 16, -6, -3, -13, 3, 5, -23, 19, -20, 15, 20, 
1, 0, -1, 3, -3, -2, 48, -42, 23, -29, -63, 107, 0, -19, 51, -40, -7, -1, 10, -6, 7, 4, 9, 19, 15, 8, 13, -14, -9, 12, 3, 0, 0, 12, -4, -1, -9, 3, -1, -2, 3, 0, -2, 3, 3, 1, 3, 4, 2, 1, 7, 19, 30, 7, 6, 12, 29, 37, 22, 17, 2, 2, 11, 11, 20, 11, 17, 11, 21, 2, -13, -5, -18, -17, -7, 3, 8, 0, -2, -3, -3, 2, -3, -4, -5, 6, -6, -1, 1, 2, -13, -6, -1, -10, -6, -19, 48, 
0, -2, 2, 0, -1, 2, 52, -47, -10, -55, 42, 70, -57, -3, 83, -30, 5, 8, -6, 4, 23, 35, 24, -19, -18, 20, -8, -8, 6, 6, -9, 5, 4, 3, -7, 2, 7, 3, -1, 2, 2, 3, -3, -2, -1, -1, -3, -1, 1, -2, 3, 1, 7, 13, 18, 20, 14, 4, 2, 1, 2, 1, -2, 5, 0, 12, 14, 22, 15, 12, 17, 14, 5, 1, -11, -19, 6, 7, -5, -11, -2, -13, -5, -2, -7, 1, -3, -1, 1, -7, 26, 0, -10, -4, -1, -65, 32, 
-2, 2, -1, -2, 1, 9, 41, -55, -1, -24, 21, 82, -59, 12, 27, -18, -3, -7, 9, -1, -12, -32, -33, 12, 28, -15, -7, 12, 2, 2, 10, 1, -3, -5, 3, 0, 1, 3, 4, 3, 0, -6, -2, -1, 2, -3, -2, -4, -3, -1, -2, -2, 2, 2, 1, -2, 2, -1, -2, 0, 3, 1, 1, 1, 0, 0, 1, -3, -4, 5, -5, 4, -4, 5, -1, 6, -22, -21, -4, -2, 8, 15, 10, -1, -2, 12, -6, -4, -3, -7, 3, 20, 0, -7, 3, -42, 8, 
1, -2, 2, 1, -2, 17, 32, -67, -27, 49, 28, -28, -43, 23, -14, -10, -3, -4, -13, -12, 0, 10, 32, 0, -20, 5, 2, -6, 16, 12, -5, -1, -5, 2, 4, 2, -5, -1, 0, -3, 0, 2, 4, 2, 0, 2, 1, 0, 1, 4, 0, 1, 0, 0, 0, 0, -1, 2, -1, 1, -3, 2, 2, 0, 2, 2, 1, 5, 4, -2, 13, 9, 11, 10, 16, 4, 8, -1, -2, 1, -11, -10, -10, 2, 14, 6, 4, 5, -2, 2, -7, -6, 4, -1, 0, -16, -52, 
-2, 2, 0, -1, -4, 29, 5, -9, -35, -7, 19, 69, -40, -18, -6, 2, -5, 1, 7, 7, 3, -7, -10, -8, 1, 6, -7, 5, 7, -7, -2, -6, 5, 7, -2, -1, 4, 2, -3, -1, 6, 1, 1, -1, 3, -3, 2, 0, 2, 2, -1, -1, 0, 0, 0, 0, 2, -1, 1, 0, 3, -2, -6, 4, 1, 0, 0, 2, 2, 4, -7, 1, -3, -3, -1, 6, 12, 2, -3, 0, -10, -3, 0, 15, -13, -8, 0, 1, -3, 1, -2, -3, 1, -1, 0, -6, -31, 
-1, 0, -2, 1, 2, 21, -3, -22, -49, 65, 47, -72, -21, 31, -1, 0, 0, 0, 2, 3, -6, 7, -3, 1, -3, -18, -1, 0, -2, 5, 5, 3, 0, 1, -1, -5, -4, 0, 5, 2, 0, 5, -1, 1, 2, 2, 0, -1, 3, -2, 0, 4, -2, -1, 0, 0, -2, -4, -2, 1, 1, 3, 2, -4, 4, 5, 0, -3, 1, -1, -1, 3, -3, 7, 2, -4, 6, 5, -11, 0, 9, -6, 8, -9, 2, 4, -4, -2, 3, -1, 1, 1, -1, -2, 0, 2, -31, 
-4, -1, 1, 3, 4, 4, 31, -36, -34, 34, -15, 50, -23, -10, -4, 2, -2, 2, -6, -11, 11, 13, 0, -7, -17, 0, 11, 12, 2, -2, 3, -2, -2, 1, 5, 5, -1, 0, 2, -1, 3, -3, -5, 0, 1, -1, 3, 2, 0, 3, -2, 1, 3, 4, 0, 5, 0, 4, -4, 1, 1, -2, -2, -3, -2, 4, 1, 2, 4, -1, 1, 5, 1, 0, -1, 6, 11, 6, -1, -11, -5, -1, -1, 3, -1, -1, 0, -3, -4, -1, -1, -2, 5, 0, 0, -8, 11, 
0, -2, 0, 3, 0, 9, 31, -48, -19, -8, 35, 15, -24, 2, 2, -4, 0, -5, -1, -2, 20, -14, -13, -14, -5, 11, 10, 8, 0, 0, 1, 2, 6, -3, 2, 4, 7, -4, -3, 5, -4, -4, 2, 1, -1, -1, -2, -4, 1, -2, -1, -5, 4, -1, -3, -1, 3, 1, 1, 0, 5, 1, 1, -4, 4, -2, 1, -2, -1, 0, 0, 3, 0, 2, 1, -1, -3, 13, 9, -5, -16, 3, 4, 0, 12, -1, 0, 3, 4, 2, 3, -4, 8, -2, 0, -6, 0, 
-1, 3, -1, 4, -5, 16, 18, -37, -4, 6, 6, -6, -9, -1, -1, 0, -3, -4, -7, 34, -22, -8, -4, 1, 16, -1, -11, -3, 6, 1, 2, 13, 2, -2, 3, 6, 2, 2, -2, 4, 2, 0, 1, 2, 1, 0, -1, 3, 2, -5, 0, 4, -3, 1, -4, -1, -5, 5, -3, -1, 5, 2, 5, 3, -5, 5, -3, 3, -4, 6, 7, -1, -1, -3, -9, 5, 4, -7, 8, 4, 2, -18, -6, 2, 1, 0, -1, -2, -3, -5, -2, -4, 5, -1, -2, -1, -10, 
1, -3, 0, 3, 1, 4, 8, -15, 21, 9, -30, -17, -1, 0, 0, 0, -4, -3, 9, 8, -14, 8, 4, 3, -8, -14, -10, 8, -2, 11, -5, 5, 0, 7, -4, 4, -5, 0, -4, -5, 5, 1, -1, 0, -4, 1, 0, -2, 2, -1, -1, -2, 2, -3, 2, 2, 1, 0, 0, -1, -7, 2, 1, -2, 4, 0, 1, 6, -2, -2, 4, -3, -2, -6, 4, 8, -3, 5, 3, 4, -3, -4, -6, -10, 0, 8, 0, -1, -8, -4, 6, 6, -5, 0, 1, -3, -4, 
-2, 2, -2, 1, 10, -9, -7, 46, -5, -3, -31, 12, 11, -8, 1, -1, 0, -6, 16, -8, 2, -1, -15, -7, -7, 5, 8, 1, 0, 0, 7, 3, -1, 6, -5, -6, -1, 3, -4, -3, 2, -2, -5, -1, 5, -1, 0, -1, 1, 1, 1, 4, -3, 0, -3, 3, 1, 2, -1, 5, -3, -4, 5, -2, 1, -3, -2, 1, 5, 8, 1, -4, 7, -3, 2, 8, -4, -1, -10, 7, 6, -1, -3, 8, -11, -6, 4, 7, 9, 5, -6, -3, 2, -1, -3, 16, -8, 
2, -1, 2, -1, 11, -8, -15, 85, -27, -45, 23, 30, -8, -5, 1, -1, -2, 4, 6, -7, -1, -6, 1, 1, -2, 10, -5, -13, 9, 1, -4, -2, -1, 0, -8, -3, 4, 0, 0, 2, -1, 1, 2, 2, 2, 0, 3, 0, 3, 4, 2, 0, -1, 1, -2, 1, 1, -1, 1, -1, 1, 3, 2, -2, -9, -6, -2, 8, 5, 4, -1, 1, 9, 1, -6, 1, 4, -12, 3, -14, 5, 14, -9, -4, 2, 0, -4, -6, -3, 2, 3, -3, 5, -1, -4, 3, -4, 
1, -1, 1, -1, 5, 9, -21, 71, -60, -44, 5, -15, -2, 1, 0, -1, 1, 0, -1, -3, -1, -8, 0, 3, 6, -1, -7, -1, 15, 8, -1, -3, -2, -2, -7, -4, 9, -3, 6, 2, 3, -1, 0, -6, 4, -3, -8, 1, 0, -9, 4, -3, 0, -7, 4, -2, -5, 3, 2, 1, 0, 6, -9, 1, -5, 7, 1, -3, -3, 6, -1, -9, -5, 14, 0, -5, 4, 5, 8, -1, -17, -8, 15, 0, 9, 5, 16, 4, -6, -4, -5, 0, 5, -1, -1, -3, -1, 
2, -1, 1, -1, 0, 22, 24, -57, -41, 95, -35, -6, 1, 0, 0, 0, -2, 1, -5, 0, -1, 0, -4, -7, -4, -1, -6, 3, -9, -2, 3, 1, 1, 8, -1, -4, 0, 2, 1, 0, 1, -2, 1, 7, 0, 6, -5, 1, 2, -5, 2, 2, 0, 5, -1, 3, -2, 2, 1, -4, 2, 1, -2, 5, -3, 5, -2, 1, 13, -4, -2, -3, 10, 11, -1, 5, 11, -1, -4, -1, 1, -4, -8, 18, -6, -13, -10, 0, 5, 3, -1, -5, 3, 0, 0, -11, 18, 
-3, 0, 1, -2, 1, 11, 60, -105, 48, 59, -20, -3, 0, 0, 0, 0, -2, 1, 2, 0, 2, -3, -13, -8, -10, -12, -1, -13, -2, 4, 2, 4, 2, -7, 2, 6, -2, -4, 7, -1, -6, 6, 4, 3, -2, 1, 3, -2, -1, 0, -8, 3, -1, 3, -2, 2, -4, -1, -1, 7, -2, 2, -2, -5, -3, 0, 4, -4, 1, 1, -3, 3, 7, 1, 1, -7, -9, -3, 8, -6, 1, -5, -8, -4, 11, 5, 3, -6, -8, 1, 1, -1, 0, 2, -1, -2, 2, 
